shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice
burgers,meatballs,eggs,,,,,,,
chutney,,,,,,,,,
turkey,avocado,,,,,,,,
mineral water,milk,energy bar,whole wheat rice,green tea,,,,,
low fat yogurt,,,,,,,,,
whole wheat pasta,french fries,,,,,,,,
soup,light cream,shallot,,,,,,,
frozen vegetables,spaghetti,green tea,,,,,,,
french fries,,,,,,,,,
eggs,pet food,,,,,,,,
cookies,,,,,,,,,
turkey,burgers,mineral water,eggs,cooking oil,,,,,
spaghetti,champagne,cookies,,,,,,,
mineral water,salmon,,,,,,,,
mineral water,,,,,,,,,
shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt,,,
turkey,eggs,,,,,,,,
turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate
meatballs,milk,honey,french fries,protein bar,,,,,
